symbol,buy_date,sell_date,buy_price,sell_price,qty,roi,pnl,holding_days,peak_profit_percent,peak_drawdown_percent,peak_price,bottom_price
COALINDIA,2023-04-25,2023-06-12,230.25,229.0,526,-0.543,-657.5,48,6.884,-1.129,246.1,227.65
COALINDIA,2023-10-11,2024-10-21,301.85,485.4,391,60.808,71768.05,376,79.029,0.0,540.4,301.85
DRREDDY,2020-04-28,2021-02-10,789.95,964.81,46,22.136,8043.56,288,37.143,-6.851,1083.36,735.83
DRREDDY,2023-04-25,2023-06-12,966.66,935.13,125,-3.262,-3941.25,48,2.787,-9.131,993.6,878.39
DRREDDY,2023-08-11,2023-11-10,1165.2,1084.98,109,-6.885,-8743.98,91,2.228,-9.663,1191.16,1052.61
EICHERMOT,2020-07-13,2020-11-10,1965.5,2234.85,18,13.704,4848.3,120,15.487,-5.558,2269.9,1856.26
EICHERMOT,2022-07-19,2022-12-19,3077.7,3388.9,31,10.111,9647.2,153,25.108,-1.768,3850.45,3023.3
EICHERMOT,2023-04-25,2023-07-10,3217.95,3175.5,37,-1.319,-1570.65,76,15.832,-1.319,3727.4,3175.5
EICHERMOT,2025-04-22,2025-07-28,5784.0,5386.0,57,-6.881,-22686.0,97,0.0,-8.221,5784.0,5308.5
EICHERMOT,2025-10-14,2026-01-19,6887.0,7323.5,59,6.338,25753.5,97,9.641,-2.788,7551.0,6695.0
ETERNAL,2023-08-11,2024-10-21,93.35,265.7,1363,184.628,234913.05,437,218.157,-4.392,297.0,89.25
ETERNAL,2025-10-14,2025-12-10,347.75,291.7,1169,-16.118,-65522.45,57,1.898,-17.973,354.35,285.25
GRASIM,2021-02-11,2021-12-13,1230.51,1725.52,36,40.228,17820.36,305,51.722,-2.805,1866.95,1196.0
GRASIM,2022-09-13,2022-12-12,1782.49,1808.04,58,1.433,1481.9,90,2.034,-8.56,1818.75,1629.9
GRASIM,2024-07-11,2024-10-21,2801.6,2718.25,53,-2.975,-4417.55,102,1.504,-10.323,2843.75,2512.4
GRASIM,2025-04-22,2025-06-10,2749.4,2708.0,120,-1.506,-4968.0,49,2.742,-8.195,2824.8,2524.1
HCLTECH,2020-10-13,2021-11-10,900.4,1169.15,43,29.848,11556.25,393,50.844,-10.645,1358.2,804.55
HCLTECH,2024-08-13,2024-10-21,1592.65,1843.6,174,15.757,43665.3,69,17.421,0.0,1870.1,1592.65
HDFCBANK,2019-01-11,2019-02-11,527.98,534.92,47,1.314,326.18,31,1.716,-3.655,537.04,508.68
HDFCBANK,2023-04-25,2023-05-10,832.08,826.05,145,-0.725,-874.35,15,3.824,-2.313,863.9,812.83
HDFCBANK,2025-04-22,2025-07-28,980.85,1004.25,337,2.386,7885.8,97,3.191,-3.67,1012.15,944.85
HDFCBANK,2025-10-14,2026-01-12,977.15,936.95,416,-4.114,-16723.2,90,3.311,-4.114,1009.5,936.95
HDFCLIFE,2019-10-15,2020-01-27,592.75,599.7,50,1.173,347.5,104,7.322,-4.192,636.15,567.9
HDFCLIFE,2020-04-28,2020-10-12,486.15,563.4,75,15.89,5793.75,167,31.749,-3.456,640.5,469.35
HDFCLIFE,2025-04-22,2025-07-28,712.55,761.2,464,6.828,22573.6,97,14.28,-1.123,814.3,704.55
HINDALCO,2025-10-14,2026-01-19,760.1,939.95,535,23.661,96219.75,97,25.687,0.0,955.35,760.1
HINDUNILVR,2019-01-11,2019-02-11,1769.4,1804.8,14,2.001,495.6,31,3.936,-2.037,1839.05,1733.35
HINDUNILVR,2019-03-12,2019-05-06,1734.8,1668.9,13,-3.799,-856.7,55,1.32,-4.364,1757.7,1659.1
HINDUNILVR,2019-10-15,2020-01-10,2064.4,1954.0,14,-5.348,-1545.6,87,5.573,-7.215,2179.45,1915.45
HINDUNILVR,2020-04-28,2020-07-10,2289.95,2223.8,16,-2.889,-1058.4,73,0.0,-13.933,2289.95,1970.9
HINDUNILVR,2022-07-19,2022-09-12,2567.95,2580.4,37,0.485,460.65,55,4.544,-0.812,2684.65,2547.1
ICICIBANK,2019-01-11,2019-02-11,378.55,350.05,66,-7.529,-1881.0,31,0.0,-9.246,378.55,343.55
ICICIBANK,2019-03-12,2019-05-06,388.2,401.3,62,3.375,812.2,55,4.972,-1.211,407.5,383.5
ICICIBANK,2020-01-13,2020-01-27,538.6,537.25,51,-0.251,-68.85,14,0.0,-2.924,538.6,522.85
ICICIBANK,2022-09-13,2022-12-19,910.0,906.45,114,-0.39,-404.7,97,4.714,-7.264,952.9,843.9
ICICIBANK,2023-05-11,2023-09-11,939.2,978.25,132,4.158,5154.6,123,6.522,-1.698,1000.45,923.25
ICICIBANK,2025-04-22,2025-07-28,1416.5,1488.4,233,5.076,16752.7,97,5.09,-1.948,1488.6,1388.9
INDIGO,2019-01-11,2019-02-11,1057.45,1187.05,23,12.256,2980.8,31,13.854,0.0,1203.95,1057.45
INDIGO,2019-10-15,2019-12-10,1752.05,1328.75,17,-24.16,-7196.1,56,0.0,-24.588,1752.05,1321.25
INDIGO,2023-06-13,2023-09-11,2340.0,2500.85,50,6.874,8042.5,90,16.417,0.0,2724.15,2340.0
INDIGO,2024-05-13,2024-10-21,4082.0,4591.0,42,12.469,21378.0,161,22.358,-1.334,4994.65,4027.55
INDIGO,2025-04-22,2025-07-28,5534.0,5762.0,59,4.12,13452.0,97,7.996,-7.824,5976.5,5101.0
INDIGO,2025-10-14,2025-12-10,5759.0,4967.5,70,-13.744,-55405.0,57,3.039,-14.508,5934.0,4923.5
INFY,2019-03-12,2019-05-06,706.95,718.4,34,1.62,389.3,55,8.53,0.0,767.25,706.95
INFY,2019-10-15,2019-11-11,768.3,704.4,39,-8.317,-2492.1,27,0.41,-17.304,771.45,635.35
INFY,2020-11-11,2021-12-13,1122.5,1744.65,34,55.425,21153.1,397,62.33,-2.294,1822.15,1096.75
ITC,2019-03-12,2019-05-06,218.47,227.74,111,4.243,1028.97,55,4.312,-1.259,227.89,215.72
ITC,2022-07-19,2022-12-19,258.12,298.33,375,15.578,15078.75,153,22.435,0.0,316.03,258.12
ITC,2023-04-25,2024-02-12,366.49,375.71,330,2.516,3042.6,293,22.211,0.0,447.89,366.49
JIOFIN,2025-07-11,2025-07-28,325.8,307.35,970,-5.663,-17896.5,17,0.0,-5.663,325.8,307.35
JSWSTEEL,2020-09-11,2021-10-11,287.8,672.4,132,133.634,50767.2,395,165.202,-10.163,763.25,258.55
JSWSTEEL,2025-10-14,2026-01-19,1147.8,1184.1,354,3.163,12850.2,97,5.419,-5.942,1210.0,1079.6
